,sal,popul,w_years,smoke,sex,age,kids,harm,ill,popul_sq,w_years_sq,popul_ln,educ_ВЫСШЕЕ,educ_ПТУ,educ_ШКОЛА,educ_без образования,marriage_не_состоит,marriage_сожительство,marriage_состоит,school_ИНЫЕ_ВИДЫ,school_ОБЫЧНАЯ_ШКОЛА,school_УГЛУБ,school_без образования,satisf_ДА,satisf_И_ДА_И_НЕТ,satisf_НЕТ,occup_ВЫСШАЯ_КВАЛИФИКАЦИЯ,occup_ГОС_СЛУЖАЩИЙ,occup_КВАЛ_РАБОЧИЕ,occup_НЕКВАЛ_РАБОЧИЕ,occup_ОФИСНЫЕ_РАБОЧИЕ,occup_ТОРГОВЛЯ,occup_без_квалификации
155,0.0,89500.0,35.0,0.0,0,77.0,2.0,0.0,0.0,8010250000.0,1225.0,11.401993904262946,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
156,30000.0,89500.0,26.0,0.0,0,47.0,2.0,1.0,0.0,8010250000.0,676.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
157,0.0,89500.0,31.0,0.0,1,74.0,1.0,0.0,0.0,8010250000.0,961.0,11.401993904262946,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
158,50300.0,89500.0,32.0,0.0,0,54.0,2.0,0.0,0.0,8010250000.0,1024.0,11.401993904262946,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
159,0.0,89500.0,55.0,0.0,0,80.0,2.0,0.0,0.0,8010250000.0,3025.0,11.401993904262946,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
160,52800.0,89500.0,37.0,0.0,1,54.0,2.0,1.0,0.0,8010250000.0,1369.0,11.401993904262946,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
161,36000.0,89500.0,35.0,0.0,0,54.0,2.0,1.0,0.0,8010250000.0,1225.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
162,35000.0,89500.0,13.0,0.0,0,32.0,2.0,1.0,0.0,8010250000.0,169.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
163,45000.0,89500.0,8.0,1.0,1,28.0,2.0,1.0,0.0,8010250000.0,64.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
164,0.0,89500.0,37.0,0.0,0,81.0,2.0,0.0,0.0,8010250000.0,1369.0,11.401993904262946,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
165,0.0,89500.0,35.0,1.0,1,56.0,1.0,0.0,0.0,8010250000.0,1225.0,11.401993904262946,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
166,0.0,89500.0,50.0,0.0,0,73.0,3.0,0.0,0.0,8010250000.0,2500.0,11.401993904262946,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
167,45000.0,89500.0,30.0,1.0,1,48.0,1.0,1.0,0.0,8010250000.0,900.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
168,19000.0,89500.0,5.0,1.0,1,44.0,1.0,0.0,0.0,8010250000.0,25.0,11.401993904262946,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
169,0.0,89500.0,43.0,0.0,0,75.0,2.0,0.0,0.0,8010250000.0,1849.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
170,0.0,89500.0,46.0,0.0,1,75.0,2.0,0.0,0.0,8010250000.0,2116.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
171,0.0,89500.0,30.0,0.0,0,62.0,2.0,0.0,0.0,8010250000.0,900.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
172,50000.0,89500.0,36.0,0.0,1,62.0,2.0,0.0,0.0,8010250000.0,1296.0,11.401993904262946,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
173,0.0,89500.0,34.0,1.0,1,68.0,2.0,0.0,0.0,8010250000.0,1156.0,11.401993904262946,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
174,0.0,89500.0,35.0,0.0,0,63.0,2.0,0.0,0.0,8010250000.0,1225.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
175,45000.0,89500.0,19.0,0.0,0,42.0,2.0,1.0,0.0,8010250000.0,361.0,11.401993904262946,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
176,0.0,1600.0,35.0,0.0,0,70.0,2.0,0.0,0.0,2560000.0,1225.0,7.3777589082278725,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
177,16000.0,1600.0,21.0,0.0,0,41.0,3.0,0.0,0.0,2560000.0,441.0,7.3777589082278725,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
178,16000.0,1600.0,16.0,0.0,0,39.0,3.0,0.0,0.0,2560000.0,256.0,7.3777589082278725,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
179,20000.0,1600.0,33.0,1.0,1,61.0,2.0,0.0,0.0,2560000.0,1089.0,7.3777589082278725,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
180,0.0,1600.0,31.0,0.0,0,60.0,2.0,0.0,0.0,2560000.0,961.0,7.3777589082278725,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
181,40000.0,1600.0,17.0,1.0,1,38.0,1.0,1.0,0.0,2560000.0,289.0,7.3777589082278725,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
